"time" "cause" "pct" "age_specific" "sex" "id" "start" "end" "group" "cip"
65.5 "Censored" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.425834391798395
65.5 "External" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.00974492169563826
65.5 "Natural" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.564420686505967
65.75 "Censored" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.408794587500907
65.75 "External" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.00999183145523788
65.75 "Natural" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.581213581043855
66 "Censored" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.392866493317078
66 "External" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0100512204344826
66 "Natural" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.597082286248439
66.25 "Censored" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.378352366859225
66.25 "External" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.010277777954155
66.25 "Natural" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.61136985518662
66.5 "Censored" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.362267658561152
66.5 "External" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0104926627118363
66.5 "Natural" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.627239678727011
66.75 "Censored" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.343930529098757
66.75 "External" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0107946848824784
66.75 "Natural" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.645274786018763
67 "Censored" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.327709579379829
67 "External" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0110351611509056
67 "Natural" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.661255259469265
67.25 "Censored" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.312524416542937
67.25 "External" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0111701518355151
67.25 "Natural" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.676305431621547
67.5 "Censored" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.300389328325284
67.5 "External" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0113825810906536
67.5 "Natural" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.688228090584062
67.75 "Censored" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.287414787302615
67.75 "External" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0115843543372101
67.75 "Natural" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.701000858360174
68 "Censored" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.274980668975554
68 "External" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0117376118966118
68 "Natural" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.713281719127834
68.25 "Censored" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.263213636188988
68.25 "External" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0118107179966236
68.25 "Natural" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.724975645814387
68.5 "Censored" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.252140389155107
68.5 "External" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0119828557922998
68.5 "Natural" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.735876755052592
68.75 "Censored" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.240911456859944
68.75 "External" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0120147263476743
68.75 "Natural" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.747073816792381
69 "Censored" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.229050669561892
69 "External" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0122311122149357
69 "Natural" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.758718218223171
69.25 "Censored" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.218816460867338
69.25 "External" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0122894063678406
69.25 "Natural" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.768894132764821
69.5 "Censored" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.209200022703254
69.5 "External" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.012345093014335
69.5 "Natural" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.77845488428241
69.75 "Censored" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.199690683714725
69.75 "External" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0124518587909316
69.75 "Natural" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.787857457494344
70 "Censored" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.190748805326959
70 "External" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0126274945151842
70 "Natural" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.796623700157858
70.25 "Censored" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.181131590256287
70.25 "External" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0126756403183763
70.25 "Natural" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.806192769425338
70.5 "Censored" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.171822951629646
70.5 "External" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0127871019387082
70.5 "Natural" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.815389946431644
70.75 "Censored" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.164239898753924
70.75 "External" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0128708103810346
70.75 "Natural" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.822889290865041
71 "Censored" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.156009627093901
71 "External" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0129917658692865
71 "Natural" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.830998607036812
71.25 "Censored" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.148994544911592
71.25 "External" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.013125699264184
71.25 "Natural" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.837879755824222
71.5 "Censored" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.141391221567985
71.5 "External" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.013181065269927
71.5 "Natural" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.845427713162086
71.75 "Censored" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.134038103237542
71.75 "External" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0132860311171272
71.75 "Natural" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.85267586564533
72 "Censored" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.127120947683446
72 "External" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0133688127070868
72 "Natural" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.859510239609466
72.25 "Censored" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.120628700961067
72.25 "External" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0134632207541316
72.25 "Natural" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.8659080782848
72.5 "Censored" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.115020960625598
72.5 "External" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0135230242416899
72.5 "Natural" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.87145601513271
72.75 "Censored" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.108921633965371
72.75 "External" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0136221039785663
72.75 "Natural" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.87745626205606
73 "Censored" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.103764361607356
73 "External" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0136768959973514
73 "Natural" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.88255874239529
73.25 "Censored" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0985893901191968
73.25 "External" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0137287871327084
73.25 "Natural" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.88768182274809
73.5 "Censored" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0930663642110605
73.5 "External" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0138398522846874
73.5 "Natural" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.893093783504247
73.75 "Censored" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0878605432598788
73.75 "External" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0139110925996391
73.75 "Natural" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.898228364140477
74 "Censored" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0831734355659025
74 "External" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0139784769991477
74 "Natural" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.902848087434945
74.25 "Censored" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0783061351050413
74.25 "External" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0140312067722509
74.25 "Natural" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.907662658122702
74.5 "Censored" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0740765370471956
74.5 "External" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.014101102871144
74.5 "Natural" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.911822360081655
74.75 "Censored" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0700678625520224
74.75 "External" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0141676539642836
74.75 "Natural" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.915764483483689
75 "Censored" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0660512558671186
75 "External" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0142676477361072
75 "Natural" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.919681096396768
75.25 "Censored" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0622152089258769
75.25 "External" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0143367317354957
75.25 "Natural" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.923448059338622
75.5 "Censored" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0584768889665856
75.5 "External" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0143773435260498
75.5 "Natural" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.92714576750736
75.75 "Censored" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0549688548606652
75.75 "External" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0144461217173367
75.75 "Natural" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.930585023421994
76 "Censored" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0512856041481719
76 "External" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0144604521742016
76 "Natural" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.934253943677623
76.25 "Censored" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0484527351501189
76.25 "External" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0144942659742111
76.25 "Natural" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.937052998875667
76.5 "Censored" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0455266912832379
76.5 "External" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0145330902825461
76.5 "Natural" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.939940218434213
76.75 "Censored" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0426004356979848
76.75 "External" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0145945562395366
76.75 "Natural" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.942805008062475
77 "Censored" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0401033150774661
77 "External" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0146118515535652
77 "Natural" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.945284833368965
77.25 "Censored" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0374504289135556
77.25 "External" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0146495992824649
77.25 "Natural" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.947899971803976
77.5 "Censored" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0351563994661566
77.5 "External" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0146955517068875
77.5 "Natural" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.950148048826952
77.75 "Censored" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0327961948535014
77.75 "External" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0147386486564621
77.75 "Natural" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.952465156490034
78 "Censored" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0305176861616603
78 "External" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.014756444151598
